experiment_id,theta,seed,condition,noise_strength,kl,js,tv,entropy,l1,utility,action
330,2.1598449493429825,0,low,0.02,0.23721058181257876,0.004215842314035807,0.015781674805530915,2.0870556958262267,0.03156334961106183,-0.015781674805530915,IGNORE
331,2.1598449493429825,0,medium,0.08,1.1211934588378927,0.018704791210254788,0.05273437500000003,2.3576299053677365,0.10546875000000006,-0.05273437500000003,IGNORE
332,2.1598449493429825,0,high,0.2,3.355764718165436,0.055320679248391534,0.15014648437500003,2.8299247021741074,0.30029296875000006,-0.15014648437500003,IGNORE
333,2.1598449493429825,1,low,0.02,0.3196948373697246,0.005708901544056343,0.024457795409734556,2.1025608880337994,0.04891559081946911,-0.024457795409734556,IGNORE
334,2.1598449493429825,1,medium,0.08,1.3233065717916501,0.022055284650424577,0.06176757812500003,2.3950185617685245,0.12353515625000006,-0.06176757812500003,IGNORE
335,2.1598449493429825,1,high,0.2,3.0977793309511767,0.05088049407969622,0.13916015625000003,2.7751108412413674,0.27832031250000006,-0.13916015625000003,IGNORE
336,2.1598449493429825,2,low,0.02,0.34409386383733065,0.00598328349686845,0.01899923584026547,2.1244705770833603,0.03799847168053094,-0.01899923584026547,IGNORE
337,2.1598449493429825,2,medium,0.08,1.355837925429173,0.022471712163276036,0.06323242187500003,2.414646764136884,0.12646484375000006,-0.06323242187500003,IGNORE
338,2.1598449493429825,2,high,0.2,3.0816544285110257,0.050760544363091104,0.13842773437500003,2.779305038118028,0.27685546875000006,-0.13842773437500003,IGNORE
339,2.1598449493429825,3,low,0.02,0.274316014389617,0.004828610258463314,0.019574982909734556,2.0913967142181713,0.03914996581946911,-0.019574982909734556,IGNORE
340,2.1598449493429825,3,medium,0.08,1.1718937348889398,0.019492710491706377,0.05493164062500003,2.361259673293514,0.10986328125000006,-0.05493164062500003,IGNORE
341,2.1598449493429825,3,high,0.2,3.00340507575235,0.04927007090807296,0.13500976562500003,2.753311160695425,0.27001953125000006,-0.13500976562500003,IGNORE
342,2.1598449493429825,4,low,0.02,0.36551697146749657,0.006332356653043268,0.019086701659734556,2.124940228569517,0.03817340331946911,-0.019086701659734556,IGNORE
343,2.1598449493429825,4,medium,0.08,1.4171149687108469,0.02342635804950841,0.06591796875000003,2.4220622732917634,0.13183593750000006,-0.06591796875000003,IGNORE
344,2.1598449493429825,4,high,0.2,3.6385025232195574,0.059916883572290414,0.16210937500000003,2.8689787899905315,0.32421875000000006,-0.16210937500000003,IGNORE
345,2.1598449493429825,5,low,0.02,0.26458117746812165,0.0046419601902006145,0.016401154784734556,2.089395713691569,0.03280230956946911,-0.016401154784734556,IGNORE
346,2.1598449493429825,5,medium,0.08,1.2051719821966795,0.02000553297079753,0.05639648437500003,2.3702408554513372,0.11279296875000006,-0.05639648437500003,IGNORE
347,2.1598449493429825,5,high,0.2,3.303169783177573,0.054258918964007585,0.14794921875000003,2.8121746375224386,0.29589843750000006,-0.14794921875000003,IGNORE
348,2.1598449493429825,6,low,0.02,0.30363823225223335,0.005348869622762572,0.017133576659734556,2.1025145387901585,0.03426715331946911,-0.017133576659734556,IGNORE
349,2.1598449493429825,6,medium,0.08,1.3020460536325407,0.02160117187213292,0.06079101562500003,2.3936002029291887,0.12158203125000006,-0.06079101562500003,IGNORE
350,2.1598449493429825,6,high,0.2,3.187066594462285,0.052382735859485566,0.14282226562500003,2.792346111902712,0.28564453125000006,-0.14282226562500003,IGNORE
351,2.1598449493429825,7,low,0.02,0.18185504016214077,0.0032495218917101823,0.012250764159734556,2.0569572871075597,0.024501528319469112,-0.012250764159734556,IGNORE
352,2.1598449493429825,7,medium,0.08,1.0230736626070538,0.01706613494803787,0.04833984375000003,2.3240702013368804,0.09667968750000006,-0.04833984375000003,IGNORE
353,2.1598449493429825,7,high,0.2,3.2117873553232665,0.05285565465854559,0.14404296875000003,2.802222562999186,0.28808593750000006,-0.14404296875000003,IGNORE
354,2.1598449493429825,8,low,0.02,0.2675619784194594,0.004689321819440142,0.013427734375000028,2.0912612628228286,0.026855468750000056,-0.013427734375000028,IGNORE
355,2.1598449493429825,8,medium,0.08,1.181065652619602,0.01961837698297058,0.05541992187500003,2.364501278742903,0.11083984375000006,-0.05541992187500003,IGNORE
356,2.1598449493429825,8,high,0.2,3.4663000312298684,0.05696816076401278,0.15478515625000003,2.836884418665323,0.30957031250000006,-0.15478515625000003,IGNORE
357,2.1598449493429825,9,low,0.02,0.3402340985445572,0.0059712337592437185,0.021728515625,2.120159575734765,0.04345703125,-0.021728515625,IGNORE
358,2.1598449493429825,9,medium,0.08,1.3678343948250329,0.022701219937852016,0.06372070312500003,2.4143847151698266,0.12744140625000006,-0.06372070312500003,IGNORE
359,2.1598449493429825,9,high,0.2,3.7581475415136163,0.06181635801550302,0.16723632812500003,2.8894106582779724,0.33447265625000006,-0.16723632812500003,IGNORE
360,2.356194490192345,0,low,0.02,0.23726029405439367,0.004228205536029666,0.01782490282429336,1.9878994976669935,0.03564980564858672,-0.01782490282429336,IGNORE
361,2.356194490192345,0,medium,0.08,1.1213508186237404,0.018744843101098627,0.05273437500000003,2.2658431538757418,0.10546875000000006,-0.05273437500000003,IGNORE
362,2.356194490192345,0,high,0.2,3.3622354382164614,0.05561139216153983,0.15039062500000003,2.7587934990702285,0.30078125000000006,-0.15039062500000003,IGNORE
363,2.356194490192345,1,low,0.02,0.3145153238849764,0.005612654045190809,0.022581689212853334,1.986999232702122,0.04516337842570667,-0.022581689212853334,IGNORE
364,2.356194490192345,1,medium,0.08,1.3176047144566647,0.02192951354245498,0.06152343750000003,2.2890554381872033,0.12304687500000006,-0.06152343750000003,IGNORE
365,2.356194490192345,1,high,0.2,3.092327429010441,0.05082651722169291,0.13891601562500003,2.691056312566114,0.27783203125000006,-0.13891601562500003,IGNORE
366,2.356194490192345,2,low,0.02,0.3440996759728475,0.0059847168056897295,0.019410498287146694,2.0224607946263786,0.03882099657429339,-0.019410498287146694,IGNORE
367,2.356194490192345,2,medium,0.08,1.355904396271851,0.022488724191887317,0.06323242187500003,2.320990470628009,0.12646484375000006,-0.06323242187500003,IGNORE
368,2.356194490192345,2,high,0.2,3.0823021987919024,0.05093230687671641,0.13842773437500003,2.704192474800091,0.27685546875000006,-0.13842773437500003,IGNORE
